number,title,source_file,category,target,status
74,要把金针度与人,074.要把金针度与人.txt,09.历史文化类,09.历史文化类/要把金针度与人.md,existing
75,中国性研究,075.中国性研究.txt,09.历史文化类,09.历史文化类/中国性研究.md,existing
76,中国命研究,076.中国命研究.txt,09.历史文化类,09.历史文化类/中国命研究.md,existing
77,中国近代史新论,077.中国近代史新论.txt,09.历史文化类,09.历史文化类/中国近代史新论.md,existing
78,中国现代史正论,078.中国现代史正论.txt,09.历史文化类,09.历史文化类/中国现代史正论.md,existing
79,中国现代史定论,079.中国现代史定论.txt,09.历史文化类,09.历史文化类/中国现代史定论.md,existing
80,中国迷信新研,080.中国迷信新研.txt,09.历史文化类,09.历史文化类/中国迷信新研.md,existing
81,中国艺术新研,081.中国艺术新研.txt,09.历史文化类,09.历史文化类/中国艺术新研.md,existing
82,李敖笑傲江湖,082.李敖笑傲江湖.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖笑傲江湖.md,existing
83,挑战李敖,083.挑战李敖.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/挑战李敖.md,existing
84,李敖秘密书房,084.李敖秘密书房.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖秘密书房.md,existing
85,李敖颠倒众生,085.李敖颠倒众生.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖颠倒众生.md,existing
86,李敖Talk秀,086.李敖Talk秀.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖Talk秀.md,existing
87,李敖大哥大,087.李敖大哥大.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖大哥大.md,existing
88,李敖有话说,088.李敖有话说.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖有话说.md,existing
89,笑敖年代,089.笑敖年代.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/笑敖年代.md,existing
90,李敖语妙天下,090.李敖语妙天下.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖语妙天下.md,existing
91,笑傲六十年·有话说李敖,091.笑傲六十年·有话说李敖.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/笑傲六十年·有话说李敖.md,existing
92,李敖演讲集,092.李敖演讲集.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖演讲集.md,existing
93,李敖政论综艺集,093.李敖政论综艺集.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/李敖政论综艺集.md,existing
94,快意还乡——李敖神州文化之旅,094.快意还乡——李敖神州文化之旅.txt,10.李敖节目演讲合集,10.李敖节目演讲合集/快意还乡——李敖神州文化之旅.md,existing
95,李敖放电集,095.李敖放电集.txt,11.李敖电子报合集,11.李敖电子报合集/李敖放电集.md,existing
96,李敖发电集,096.李敖发电集.txt,11.李敖电子报合集,11.李敖电子报合集/李敖发电集.md,existing
97,李敖送电集,097.李敖送电集.txt,11.李敖电子报合集,11.李敖电子报合集/李敖送电集.md,existing
98,李敖来电集,098.李敖来电集.txt,11.李敖电子报合集,11.李敖电子报合集/李敖来电集.md,existing
99,李敖通电集,099.李敖通电集.txt,11.李敖电子报合集,11.李敖电子报合集/李敖通电集.md,existing
100,胡适研究,100.胡适研究.txt,12.人物研究类,12.人物研究类/胡适研究.md,existing
101,胡适评传,101.胡适评传.txt,12.人物研究类,12.人物研究类/胡适评传.md,existing
102,胡适与我,102.胡适与我.txt,12.人物研究类,12.人物研究类/胡适与我.md,existing
103,孙逸仙和中国西化医学,103.孙逸仙和中国西化医学.txt,12.人物研究类,12.人物研究类/孙逸仙和中国西化医学.md,existing
104,孙中山研究,104.孙中山研究.txt,12.人物研究类,12.人物研究类/孙中山研究.md,existing
105,李登辉的真面目,105.李登辉的真面目.txt,12.人物研究类,12.人物研究类/李登辉的真面目.md,existing
106,李登辉的假面具,106.李登辉的假面具.txt,12.人物研究类,12.人物研究类/李登辉的假面具.md,existing
107,郑南榕研究,107.郑南榕研究.txt,12.人物研究类,12.人物研究类/郑南榕研究.md,existing
108,陈水扁的真面目,108.陈水扁的真面目.txt,12.人物研究类,12.人物研究类/陈水扁的真面目.md,existing
109,李远哲的真面目,109.李远哲的真面目.txt,12.人物研究类,12.人物研究类/李远哲的真面目.md,existing
110,你不知道的彭明敏,110.你不知道的彭明敏.txt,12.人物研究类,12.人物研究类/你不知道的彭明敏.md,existing
111,为文学开窗,111.为文学开窗.txt,12.人物研究类,12.人物研究类/为文学开窗.md,existing
112,丑陋的中国人研究,112.丑陋的中国人研究.txt,12.人物研究类,12.人物研究类/丑陋的中国人研究.md,existing
113,闽变研究与文星讼案,113.闽变研究与文星讼案.txt,12.人物研究类,12.人物研究类/闽变研究与文星讼案.md,existing
114,大江大海骗了你,114.大江大海骗了你.txt,12.人物研究类,12.人物研究类/大江大海骗了你.md,existing
115,蒋介石研究,115.蒋介石研究.txt,12.人物研究类,12.人物研究类/蒋介石研究.md,existing
116,蒋介石研究续集,116.蒋介石研究续集.txt,12.人物研究类,12.人物研究类/蒋介石研究续集.md,existing
117,蒋介石研究三集,117.蒋介石研究三集.txt,12.人物研究类,12.人物研究类/蒋介石研究三集.md,existing
118,蒋介石研究四集,118.蒋介石研究四集.txt,12.人物研究类,12.人物研究类/蒋介石研究四集.md,existing
119,蒋介石研究五集,119.蒋介石研究五集.txt,12.人物研究类,12.人物研究类/蒋介石研究五集.md,existing
120,蒋介石研究六集,120.蒋介石研究六集.txt,12.人物研究类,12.人物研究类/蒋介石研究六集.md,existing
121,蒋介石的真面目,121.蒋介石的真面目.txt,12.人物研究类,12.人物研究类/蒋介石的真面目.md,existing
122,蒋介石评传,122蒋介石评传.txt,12.人物研究类,12.人物研究类/蒋介石评传.md,existing
123,蒋经国研究,123.蒋经国研究.txt,12.人物研究类,12.人物研究类/蒋经国研究.md,existing
124,论定蒋经国,124.论定蒋经国.txt,12.人物研究类,12.人物研究类/论定蒋经国.md,existing
125,蒋家臭史,125.蒋家臭史.txt,12.人物研究类,12.人物研究类/蒋家臭史.md,existing
126,李敖论人物,126.李敖论人物.txt,12.人物研究类,12.人物研究类/李敖论人物.md,existing
127,国民党研究,127.国民党研究.txt,13.国民党史政类,13.国民党史政类/国民党研究.md,existing
128,国民党研究续集,128.国民党研究续集.txt,13.国民党史政类,13.国民党史政类/国民党研究续集.md,existing
129,国民党臭史,129.国民党臭史.txt,13.国民党史政类,13.国民党史政类/国民党臭史.md,existing
130,老贼臭史,130.老贼臭史.txt,13.国民党史政类,13.国民党史政类/老贼臭史.md,existing
131,给国民党难看,131.给国民党难看.txt,13.国民党史政类,13.国民党史政类/给国民党难看.md,existing
132,给外省人难看,132.给外省人难看.txt,13.国民党史政类,13.国民党史政类/给外省人难看.md,existing
133,冷眼看台湾,133.冷眼看台湾.txt,14.台湾史政类,14.台湾史政类/冷眼看台湾.md,existing
134,白眼看台湾,134.白眼看台湾.txt,14.台湾史政类,14.台湾史政类/白眼看台湾.md,existing
135,法眼看台湾,135.法眼看台湾.txt,14.台湾史政类,14.台湾史政类/法眼看台湾.md,existing
136,民进党研究,136.民进党研究.txt,14.台湾史政类,14.台湾史政类/民进党研究.md,existing
137,白色恐怖述奇,137.白色恐怖述奇.txt,14.台湾史政类,14.台湾史政类/白色恐怖述奇.md,existing
138,给台湾人难看,138.给台湾人难看.txt,14.台湾史政类,14.台湾史政类/给台湾人难看.md,existing
139,你不知道的二二八,139.你不知道的二二八.txt,14.台湾史政类,14.台湾史政类/你不知道的二二八.md,existing
140,另一面的二二八,140.另一面的二二八.txt,14.台湾史政类,14.台湾史政类/另一面的二二八.md,existing
141,洗你的脑，掐他脖子,141.洗你的脑，掐他脖子.txt,14.台湾史政类,14.台湾史政类/洗你的脑，掐他脖子.md,existing
142,李敖闹衙集,142.李敖闹衙集.txt,15.雷霆法律类,15.雷霆法律类/李敖闹衙集.md,existing
143,李敖刀笔集,143.李敖刀笔集.txt,15.雷霆法律类,15.雷霆法律类/李敖刀笔集.md,existing
144,李敖弄法集,144.李敖弄法集.txt,15.雷霆法律类,15.雷霆法律类/李敖弄法集.md,existing
145,李敖放刁集,145.李敖放刁集.txt,15.雷霆法律类,15.雷霆法律类/李敖放刁集.md,existing
146,李敖好讼集,146.李敖好讼集.txt,15.雷霆法律类,15.雷霆法律类/李敖好讼集.md,existing
147,你不知道的司法黑暗,147.你不知道的司法黑暗.txt,15.雷霆法律类,15.雷霆法律类/你不知道的司法黑暗.md,existing
148,笑傲五十年,148.笑傲五十年.txt,16.李敖祸台十书,16.李敖祸台十书/笑傲五十年.md,existing
149,第一流人的境界,149.第一流人的境界.txt,16.李敖祸台十书,16.李敖祸台十书/第一流人的境界.md,existing
150,李敖智慧书,150.李敖智慧书.txt,16.李敖祸台十书,16.李敖祸台十书/李敖智慧书.md,existing
151,恰似我的温柔,151.恰似我的温柔.txt,16.李敖祸台十书,16.李敖祸台十书/恰似我的温柔.md,existing
152,启发你的小故事,152.启发你的小故事.txt,16.李敖祸台十书,16.李敖祸台十书/启发你的小故事.md,existing
153,君子爱人以色,153.君子爱人以色.txt,16.李敖祸台十书,16.李敖祸台十书/君子爱人以色.md,existing
154,只爱一点点,154.只爱一点点.txt,16.李敖祸台十书,16.李敖祸台十书/只爱一点点.md,existing
155,从万宝囊到臭屎堆,155.从万宝囊到臭屎堆.txt,16.李敖祸台十书,16.李敖祸台十书/从万宝囊到臭屎堆.md,existing
156,我们没有明天,156.我们没有明天.txt,16.李敖祸台十书,16.李敖祸台十书/我们没有明天.md,existing
157,李敖生死书,157.李敖生死书.txt,16.李敖祸台十书,16.李敖祸台十书/李敖生死书.md,existing
158,我也李敖一下,158.我也李敖一下.txt,17.百家论李敖合集,17.百家论李敖合集/我也李敖一下.md,existing
159,四十二年，我的“恶邻”李敖大师,159.四十二年，我的“恶邻”李敖大师.txt,17.百家论李敖合集,17.百家论李敖合集/四十二年，我的“恶邻”李敖大师.md,existing
160,李敖登陆记,160.李敖登陆记.txt,17.百家论李敖合集,17.百家论李敖合集/李敖登陆记.md,existing
161,说李敖长，道李敖短,161.说李敖长，道李敖短.txt,17.百家论李敖合集,17.百家论李敖合集/说李敖长，道李敖短.md,existing
162,百家论李敖,162.百家论李敖.txt,17.百家论李敖合集,17.百家论李敖合集/百家论李敖.md,existing
163,敖友论李敖,163.敖友论李敖.txt,17.百家论李敖合集,17.百家论李敖合集/敖友论李敖.md,existing
164,李敖研究fashion文集,164.李敖研究fashion文集.txt,17.百家论李敖合集,17.百家论李敖合集/李敖研究fashion文集.md,existing
165,李戡专访与脸书合集,165.李戡专访与脸书合集.txt,17.百家论李敖合集,17.百家论李敖合集/李戡专访与脸书合集.md,existing
166,二二八研究,166.二二八研究.txt,18.李敖出版社,18.李敖出版社/二二八研究.md,pending
167,二二八研究续集,167.二二八研究续集.txt,18.李敖出版社,18.李敖出版社/二二八研究续集.md,pending
168,二二八研究三集,168.二二八研究三集.txt,18.李敖出版社,18.李敖出版社/二二八研究三集.md,pending
169,雷震研究,169.雷震研究.txt,18.李敖出版社,18.李敖出版社/雷震研究.md,pending
170,张学良研究续集,170.张学良研究续集.txt,18.李敖出版社,18.李敖出版社/张学良研究续集.md,pending
171,蒋介石张学良秘闻,171.蒋介石张学良秘闻.txt,18.李敖出版社,18.李敖出版社/蒋介石张学良秘闻.md,pending
172,拆穿蒋介石,172.拆穿蒋介石.txt,18.李敖出版社,18.李敖出版社/拆穿蒋介石.md,pending
173,蒋介石与蒋经国——毁灭的种子,173.蒋介石与蒋经国——毁灭的种子.txt,18.李敖出版社,18.李敖出版社/蒋介石与蒋经国——毁灭的种子.md,pending
174,蒋家王朝,174.蒋家王朝.txt,18.李敖出版社,18.李敖出版社/蒋家王朝.md,pending
175,蒋经国传,175.蒋经国传.txt,18.李敖出版社,18.李敖出版社/蒋经国传.md,pending
176,军统内幕,176.军统内幕.txt,18.李敖出版社,18.李敖出版社/军统内幕.md,pending
177,鹰犬将军,177.鹰犬将军.txt,18.李敖出版社,18.李敖出版社/鹰犬将军.md,pending
178,政海秘辛,178.政海秘辛.txt,18.李敖出版社,18.李敖出版社/政海秘辛.md,pending
179,李宗仁回忆录,179.李宗仁回忆录.txt,18.李敖出版社,18.李敖出版社/李宗仁回忆录.md,pending
180,汪精卫传,180.汪精卫传.txt,18.李敖出版社,18.李敖出版社/汪精卫传.md,pending
181,汪政权的开场与收场,181.汪政权的开场与收场.txt,18.李敖出版社,18.李敖出版社/汪政权的开场与收场.md,pending
182,《忆往谈旧录》1987版,182.《忆往谈旧录》1987版.txt,18.李敖出版社,18.李敖出版社/《忆往谈旧录》1987版.md,pending
183,《忆往谈旧录》2016版,183.《忆往谈旧录》2016版.txt,18.李敖出版社,18.李敖出版社/《忆往谈旧录》2016版.md,pending
184,卫士长谈毛泽东,184.卫士长谈毛泽东.txt,18.李敖出版社,18.李敖出版社/卫士长谈毛泽东.md,pending
185,秋室杂文,185.秋室杂文.txt,18.李敖出版社,18.李敖出版社/秋室杂文.md,pending
186,长征——前所未闻的故事,186.长征——前所未闻的故事.txt,18.李敖出版社,18.李敖出版社/长征——前所未闻的故事.md,pending
187,调查局黑牢345天,187.调查局黑牢345天.txt,18.李敖出版社,18.李敖出版社/调查局黑牢345天.md,pending
188,《血色黄昏》1987版,188.《血色黄昏》1987版.txt,18.李敖出版社,18.李敖出版社/《血色黄昏》1987版.md,pending
189,《血色黄昏》1997版,189.《血色黄昏》1997版.txt,18.李敖出版社,18.李敖出版社/《血色黄昏》1997版.md,pending
190,满宫残照记,190.满宫残照记.txt,18.李敖出版社,18.李敖出版社/满宫残照记.md,pending
191,厚黑教主传,191.厚黑教主传.txt,18.李敖出版社,18.李敖出版社/厚黑教主传.md,pending
192,紫禁城的黄昏,192.紫禁城的黄昏.txt,18.李敖出版社,18.李敖出版社/紫禁城的黄昏.md,pending
193,新官场现形记,193.新官场现形记.txt,18.李敖出版社,18.李敖出版社/新官场现形记.md,pending
194,中国近代社会研究,194.中国近代社会研究.txt,18.李敖出版社,18.李敖出版社/中国近代社会研究.md,pending
195,自由的滋味——彭明敏回忆录,195.自由的滋味——彭明敏回忆录.txt,18.李敖出版社,18.李敖出版社/自由的滋味——彭明敏回忆录.md,pending
